name,persona,first_year_hours,first_year_hours,first_year_hours,first_year_hours,ongoing_annual_hours,ongoing_annual_hours,ongoing_annual_hours,ongoing_annual_hours
,,mean,std,min,max,mean,std,min,max
AI Model Assessment,Real Estate Developer,60.0,,60,60,30.0,,30,30
AI Model Review and Documentation,Pharmaceutical Research Director,100.0,,100,100,60.0,,60,60
Assess Compliance Gaps,Manufacturing Plant Manager,20.0,,20,20,10.0,,10,10
Assess Compliance with Transparency Requirements,Hospitality Chain Owner,20.0,,20,20,10.0,,10,10
Assess Current AI Models,Healthcare Administrator,60.0,,60,60,30.0,,30,30
Assess Current AI Usage,Hospitality Chain Owner,20.0,,20,20,10.0,,10,10
Assess Current AI Usage,Real Estate Developer,60.0,,60,60,20.0,,20,20
Assess current AI practices,Nonprofit Director,30.0,,30,30,15.0,,15,15
Audit AI Models,EdTech Startup Founder,40.0,,40,40,30.0,,30,30
Audit AI Systems,E-commerce Platform Manager,20.0,,20,20,20.0,,20,20
Audit AI Systems,Hospitality Chain Owner,25.0,,25,25,10.0,,10,10
Audit and Compliance Checks,Compliance Officer - Large Tech,80.0,,80,80,40.0,,40,40
Audit and Compliance Checks,Healthcare Administrator,30.0,,30,30,40.0,,40,40
Audit and Compliance Checks,Pharmaceutical Research Director,70.0,,70,70,50.0,,50,50
Audit and Compliance Checks,Real Estate Developer,30.0,,30,30,25.0,,25,25
Audit and Monitoring Plan,EdTech Startup Founder,40.0,,40,40,30.0,,30,30
Audit and Reporting Procedures,Real Estate Developer,25.0,,25,25,20.0,,20,20
Audit and Review Process,Compliance Officer - Large Tech,50.0,,50,50,60.0,,60,60
Audit and Review Process,Pharmaceutical Research Director,70.0,,70,70,60.0,,60,60
Communication Strategy,Financial Services Compliance Manager,20.0,,20,20,10.0,,10,10
Compliance Assessment,Real Estate Developer,40.0,,40,40,20.0,,20,20
Compliance Audits,Healthcare Administrator,40.0,,40,40,30.0,,30,30
Compliance Documentation,Pharmaceutical Research Director,50.0,,50,50,25.0,,25,25
Compliance Documentation,Real Estate Developer,40.0,,40,40,20.0,,20,20
Compliance Monitoring,Pharmaceutical Research Director,60.0,,60,60,50.0,,50,50
Conduct AI Impact Assessment,Small Business Owner,20.0,,20,20,10.0,,10,10
Conduct Audits and Assessments,Compliance Officer - Large Tech,100.0,,100,100,80.0,,80,80
Conduct Audits and Assessments,Healthcare Administrator,50.0,,50,50,30.0,,30,30
Conduct Compliance Audits,Government Agency Director,50.0,,50,50,30.0,,30,30
Conduct Compliance Audits,Healthcare Administrator,25.0,,25,25,20.0,,20,20
Conduct Compliance Audits,Hospitality Chain Owner,25.0,,25,25,25.0,,25,25
Conduct Compliance Audits,Manufacturing Plant Manager,20.0,,20,20,20.0,,20,20
Conduct Compliance Gap Analysis,Manufacturing Plant Manager,20.0,,20,20,5.0,,5,5
Conduct Compliance Training for Staff,Small Business Owner,20.0,,20,20,10.0,,10,10
Conduct Employee Rights Training,Hospitality Chain Owner,25.0,,25,25,15.0,,15,15
Conduct Employee Rights Training,Manufacturing Plant Manager,25.0,,25,25,10.0,,10,10
Conduct Employee Rights Training,Small Business Owner,15.0,,15,15,10.0,,10,10
Conduct Employee Training,E-commerce Platform Manager,30.0,,30,30,10.0,,10,10
Conduct Employee Training,Real Estate Developer,15.0,,15,15,10.0,,10,10
Conduct Regular Audits,E-commerce Platform Manager,50.0,,50,50,30.0,,30,30
Conduct Regular Audits,EdTech Startup Founder,25.0,10.0,20,40,31.25,6.2915286960589585,25,40
Conduct Regular Audits,Government Agency Director,50.0,10.0,40,60,43.333333333333336,11.547005383792516,30,50
Conduct Regular Audits,Real Estate Developer,20.0,7.0710678118654755,15,25,20.0,7.0710678118654755,15,25
Conduct Regular Compliance Audits,E-commerce Platform Manager,25.0,7.0710678118654755,20,30,22.5,10.606601717798213,15,30
Conduct Regular Compliance Audits,Hospitality Chain Owner,10.0,,10,10,25.0,,25,25
Conduct Regular Compliance Audits,Nonprofit Director,20.0,,20,20,20.0,,20,20
Conduct Regular Compliance Audits,Small Business Owner,25.0,,25,25,20.0,,20,20
Conduct Regulatory Research,EdTech Startup Founder,40.0,,40,40,10.0,,10,10
Conduct Risk Assessments,Compliance Officer - Large Tech,70.0,,70,70,40.0,,40,40
Conduct Risk Assessments,Pharmaceutical Research Director,40.0,,40,40,20.0,,20,20
Continuous Compliance Monitoring,EdTech Startup Founder,20.0,,20,20,35.0,,35,35
Create Compliance Audit Procedures,Small Business Owner,25.0,,25,25,10.0,,10,10
Create Documentation for Compliance,Healthcare Administrator,40.0,,40,40,10.0,,10,10
Create Employee Rights and Protections Policy,Manufacturing Plant Manager,15.0,,15,15,10.0,,10,10
Create Monitoring and Reporting System,E-commerce Platform Manager,80.0,,80,80,30.0,,30,30
Create Reporting Mechanism,Small Business Owner,10.0,,10,10,5.0,,5,5
Create Transparency Documentation,Hospitality Chain Owner,25.0,,25,25,15.0,,15,15
Create Transparency Documentation,Nonprofit Director,20.0,,20,20,15.0,,15,15
Create Transparency Protocols,Government Agency Director,50.0,,50,50,30.0,,30,30
Develop AI Model Training Protocols,E-commerce Platform Manager,30.0,,30,30,20.0,,20,20
Develop AI Safety Protocols,Nonprofit Director,30.0,,30,30,20.0,,20,20
Develop AI Safety Protocols,Small Business Owner,30.0,0.0,30,30,15.0,0.0,15,15
Develop AI Training Protocols,Healthcare Administrator,80.0,,80,80,30.0,,30,30
Develop AI Training Protocols,Hospitality Chain Owner,30.0,0.0,30,30,12.5,3.5355339059327378,10,15
Develop AI Training Protocols,Small Business Owner,30.0,,30,30,20.0,,20,20
